Headway,PT optimal -ST difference,PT optimal -AT difference
0,0,0
0,0,0
0,0,0
0,-202.6,-202.6
1097.301205,-100.1616754,333.4731894
1768.098205,-110.9582917,599.2364162
1153.785347,-94.8163674,284.3288642
855.3956134,-72.70305568,163.1895826
842.5255303,-41.21294402,160.7327227
969.6073646,-36.98403877,218.7136917
997.8778231,-31.89027633,227.2938023
1002.834402,-30.78543983,223.3641869
1011.611917,-9.450189823,225.8827229
996.7355576,-0.94922869,221.8320717
936.9915284,-9.346956717,193.3547018
807.0510413,-7.542589002,140.1290099
759.7596647,-1.694737818,118.7134804
783.5839252,15.62460331,128.8251513
829.5976628,18.56305163,155.139086
965.7335578,-5.453649829,210.6875903
1126.967023,-28.08697365,272.1068375
1199.799781,-39.37612619,272.8401023
2352.824045,-111.3314967,742.5987329
3562.884976,-286.8939453,1179.459287
